identifiers,date,page
"Oral History , RG Number: RG-50.999.0711",interview: 2019 July 18,https://collections.ushmm.org/search/catalog/irn713277
"Oral History , Accession Number: 2020.210.48 , RG Number: RG-90.121.0048",interview: 2013,https://collections.ushmm.org/search/catalog/irn716153
"Oral History , Accession Number: 1992.A.0125.21 , RG Number: RG-50.233.0021",interview: 1992 March 20,https://collections.ushmm.org/search/catalog/irn509099
"Oral History , Accession Number: 1992.A.0126.10 , RG Number: RG-50.156.0010",interview: 1983 November 03,https://collections.ushmm.org/search/catalog/irn510661
"Oral History , RG Number: RG-50.030.0064",interview: 1990 October 18,https://collections.ushmm.org/search/catalog/irn504560
"Oral History , Accession Number: 1999.A.0122.1019 , RG Number: RG-50.477.1019",interview: 1992 February 12,https://collections.ushmm.org/search/catalog/irn517080
"Oral History , Accession Number: 1999.A.0122.1430 , RG Number: RG-50.477.1430",interview: 1983 April 11,https://collections.ushmm.org/search/catalog/irn47705
"Oral History , Accession Number: 1999.A.0122.1471 , RG Number: RG-50.477.1471",interview: 1989 April 01,https://collections.ushmm.org/search/catalog/irn47768
"Oral History , Accession Number: 1995.A.1269.2 , RG Number: RG-50.470.0002",interview: 1995 February 13,https://collections.ushmm.org/search/catalog/irn511047
"Oral History , Accession Number: 1996.A.0469 , RG Number: RG-50.549.01.0016",interview: 1996 August 06,https://collections.ushmm.org/search/catalog/irn504924
"Oral History , Accession Number: 1994.A.0447.9 , RG Number: RG-50.042.0009",interview: 1992 February 12,https://collections.ushmm.org/search/catalog/irn505563
"Oral History , Accession Number: 1990.340.1 , RG Number: RG-50.030.0157",interview: 1990 January 25,https://collections.ushmm.org/search/catalog/irn504651
"Oral History , Accession Number: 2013.347.1 , RG Number: RG-50.030.0735",interview: 2013 August 20,https://collections.ushmm.org/search/catalog/irn76709
"Oral History , Accession Number: 1997.A.0441.124 , RG Number: RG-50.462.0124",interview: 1981 February 24,https://collections.ushmm.org/search/catalog/irn515649
"Oral History , Accession Number: 1995.A.1284.15 , RG Number: RG-50.147.0015",interview: 1983 May 19,https://collections.ushmm.org/search/catalog/irn510768
"Oral History , Accession Number: 1989.228.45 , RG Number: RG-50.060.0045",interview: 1988 October 11,https://collections.ushmm.org/search/catalog/irn512531
"Oral History , Accession Number: 2010.82 , RG Number: RG-50.030.0568",interview: 2010 March 02,https://collections.ushmm.org/search/catalog/irn41518
"Oral History , RG Number: RG-50.999.0542",interview: 2016 March 24,https://collections.ushmm.org/search/catalog/irn598655
"Oral History , Accession Number: 2022.9.39 , RG Number: RG-90.217.0039",Unknown,https://collections.ushmm.org/search/catalog/irn734880
"Oral History , Accession Number: 1992.A.0126.40 , RG Number: RG-50.156.0040",interview: 1983 June 28,https://collections.ushmm.org/search/catalog/irn510694
"Oral History , Accession Number: 2014.62.1 , RG Number: RG-50.030.0753",interview: 2014 June 13,https://collections.ushmm.org/search/catalog/irn84371
"Oral History , Accession Number: 1993.A.0089.15 , RG Number: RG-50.155.0015",interview: approximately 1985 January 15,https://collections.ushmm.org/search/catalog/irn504412
"Oral History , Accession Number: 1999.A.0122.1414 , RG Number: RG-50.477.1414",interview: 1983 April 11,https://collections.ushmm.org/search/catalog/irn47700
"Oral History , Accession Number: 1999.A.0122.1364 , RG Number: RG-50.477.1364",interview: 1983 April 13,https://collections.ushmm.org/search/catalog/irn47658
"Oral History , Accession Number: 1999.A.0122.1286 , RG Number: RG-50.477.1286",interview: 1991 April 29,https://collections.ushmm.org/search/catalog/irn46024
"Oral History , Accession Number: 1999.A.0122.1302 , RG Number: RG-50.477.1302",interview: 1983 April 11,https://collections.ushmm.org/search/catalog/irn47573
"Oral History , Accession Number: 1999.A.0122.1322 , RG Number: RG-50.477.1322",interview: 1983 April 13,https://collections.ushmm.org/search/catalog/irn47595
"Oral History , Accession Number: 1999.A.0122.1204 , RG Number: RG-50.477.1204",interview: 1988 December 02,https://collections.ushmm.org/search/catalog/irn45937
"Oral History , Accession Number: 2000.186 , RG Number: RG-50.106.0134",interview: 2000 August 26,https://collections.ushmm.org/search/catalog/irn502341
"Oral History , RG Number: RG-50.030.0277",interview: 1993 December 14,https://collections.ushmm.org/search/catalog/irn504761
"Oral History , Accession Number: 2006.75 , RG Number: RG-50.030.0506",interview: 2006 April 20,https://collections.ushmm.org/search/catalog/irn518252
"Oral History , Accession Number: 1990.359.1 , RG Number: RG-50.030.0108",interview: 1990 March 13,https://collections.ushmm.org/search/catalog/irn504602
"Oral History , Accession Number: 1990.346.1 , RG Number: RG-50.030.0135",interview: 1990 February 08,https://collections.ushmm.org/search/catalog/irn504629
"Oral History , Accession Number: 1996.A.0482 , RG Number: RG-50.030.0381",interview: 1996 October 18,https://collections.ushmm.org/search/catalog/irn504874
"Oral History , RG Number: RG-50.447.0004",interview: 1990 April 01,https://collections.ushmm.org/search/catalog/irn513729
"Oral History , Accession Number: 1995.A.1257.23 , RG Number: RG-50.322.0023",interview: 1978 October 10,https://collections.ushmm.org/search/catalog/irn510477
"Oral History , Accession Number: 1994.A.0453.1 , RG Number: RG-50.164.0001",interview: 1990 November 28,https://collections.ushmm.org/search/catalog/irn511190
